state,county,age_group,gender,date,cases,deaths,recovered
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,F,2020-03-27,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,F,2020-03-28,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,F,2020-04-03,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-04-05,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-05-18,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-07-27,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-08-12,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-08-23,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,00-04,M,2020-09-20,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-03-17,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-03-25,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-03-26,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-03-29,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-03-31,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-04-01,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-04-09,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-04-17,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-04-27,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-05-11,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-05-23,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-08-17,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-08-26,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-08-29,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-05,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-07,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-17,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-20,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-21,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-23,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-24,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-25,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-09-27,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-10-01,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-10-08,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-10-09,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,F,2020-10-10,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-03-26,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-03-30,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-04-01,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-05-23,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-07-22,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-08-12,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-08-18,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-08-27,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-08-29,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-05,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-10,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-18,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-20,3,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-21,2,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-24,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-09-25,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-10-01,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-10-02,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,05-14,M,2020-10-09,1,0,0
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-14,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-15,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-16,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-18,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-19,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-20,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-21,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-23,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-24,5,0,5
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-25,5,0,5
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-26,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-27,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-28,3,0,3
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-29,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-30,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-03-31,3,0,3
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-01,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-02,4,0,4
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-03,4,0,4
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-04,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-05,4,0,4
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-07,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-08,5,0,5
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-09,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-10,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-12,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-14,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-15,3,0,3
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-16,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-17,2,0,2
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-18,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-22,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-24,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-25,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-04-29,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-05-07,1,0,1
Baden-Wuerttemberg,LK Alb-Donau-Kreis,15-34,F,2020-05-08,2,0,2
